Time,,x(t),vx(t),,y(t),vy(t),,z(t),vz(t)
188,,1105.24,5.87876,,-9416.6,3.7542,,-54805.5,2.06764
188.5,,1108.18,5.87876,,-9414.73,3.75421,,-54804.5,2.0677
189,,1111.12,5.87876,,-9412.85,3.75422,,-54803.4,2.06777
189.5,,1114.06,5.87876,,-9410.97,3.75423,,-54802.4,2.06783
190,,1116.99,5.87876,,-9409.09,3.75424,,-54801.4,2.06789
190.5,,1119.93,5.87875,,-9407.22,3.75425,,-54800.3,2.06796
191,,1122.87,5.87875,,-9405.34,3.75426,,-54799.3,2.06802
191.5,,1125.81,5.87875,,-9403.46,3.75428,,-54798.3,2.06809
192,,1128.75,5.87875,,-9401.59,3.75429,,-54797.2,2.06815
192.5,,1131.69,5.87875,,-9399.71,3.7543,,-54796.2,2.06821
193,,1134.63,5.87875,,-9397.83,3.75431,,-54795.2,2.06828
193.5,,1137.57,5.87875,,-9395.95,3.75432,,-54794.1,2.06834
194,,1140.51,5.87875,,-9394.08,3.75433,,-54793.1,2.0684
194.5,,1143.45,5.87874,,-9392.2,3.75434,,-54792.1,2.06847
195,,1146.39,5.87874,,-9390.32,3.75435,,-54791,2.06853
195.5,,1149.33,5.87874,,-9388.45,3.75436,,-54790,2.06859
196,,1152.27,5.87874,,-9386.57,3.75437,,-54789,2.06866
196.5,,1155.21,5.87874,,-9384.69,3.75438,,-54787.9,2.06872
197,,1158.15,5.87874,,-9382.81,3.75439,,-54786.9,2.06878
197.5,,1161.09,5.87874,,-9380.94,3.75441,,-54785.9,2.06885
198,,1164.02,5.87874,,-9379.06,3.75442,,-54784.8,2.06891
198.5,,1166.96,5.87873,,-9377.18,3.75443,,-54783.8,2.06897
199,,1169.9,5.87873,,-9375.3,3.75444,,-54782.8,2.06904
199.5,,1172.84,5.87873,,-9373.43,3.75445,,-54781.7,2.0691
200,,1175.78,5.87873,,-9371.55,3.75446,,-54780.7,2.06917
200.5,,1178.72,5.87873,,-9369.67,3.75447,,-54779.7,2.06923
201,,1181.66,5.87873,,-9367.8,3.75448,,-54778.6,2.06929
201.5,,1184.6,5.87873,,-9365.92,3.75449,,-54777.6,2.06936
202,,1187.54,5.87872,,-9364.04,3.7545,,-54776.6,2.06942
202.5,,1190.48,5.87872,,-9362.16,3.75451,,-54775.5,2.06948
203,,1193.42,5.87872,,-9360.29,3.75453,,-54774.5,2.06955
203.5,,1196.36,5.87872,,-9358.41,3.75454,,-54773.4,2.06961
204,,1199.3,5.87872,,-9356.53,3.75455,,-54772.4,2.06967
204.5,,1202.24,5.87872,,-9354.66,3.75456,,-54771.4,2.06974
205,,1205.18,5.87872,,-9352.78,3.75457,,-54770.3,2.0698
205.5,,1208.12,5.87871,,-9350.9,3.75458,,-54769.3,2.06986
206,,1211.05,5.87871,,-9349.02,3.75459,,-54768.3,2.06993
206.5,,1213.99,5.87871,,-9347.15,3.7546,,-54767.2,2.06999
207,,1216.93,5.87871,,-9345.27,3.75461,,-54766.2,2.07006
207.5,,1219.87,5.87871,,-9343.39,3.75462,,-54765.2,2.07012
208,,1222.81,5.87871,,-9341.51,3.75463,,-54764.1,2.07018
208.5,,1225.75,5.87871,,-9339.64,3.75464,,-54763.1,2.07025
209,,1228.69,5.8787,,-9337.76,3.75466,,-54762.1,2.07031
209.5,,1231.63,5.8787,,-9335.88,3.75467,,-54761,2.07037
210,,1234.57,5.8787,,-9334,3.75468,,-54760,2.07044
210.5,,1237.51,5.8787,,-9332.13,3.75469,,-54759,2.0705
211,,1240.45,5.8787,,-9330.25,3.7547,,-54757.9,2.07056
211.5,,1243.39,5.8787,,-9328.37,3.75471,,-54756.9,2.07063
212,,1246.33,5.8787,,-9326.5,3.75472,,-54755.9,2.07069
212.5,,1249.27,5.87869,,-9324.62,3.75473,,-54754.8,2.07076
213,,1252.21,5.87869,,-9322.74,3.75474,,-54753.8,2.07082
213.5,,1255.14,5.87869,,-9320.86,3.75475,,-54752.7,2.07088
214,,1258.08,5.87869,,-9318.99,3.75476,,-54751.7,2.07095
214.5,,1261.02,5.87869,,-9317.11,3.75477,,-54750.7,2.07101
215,,1263.96,5.87869,,-9315.23,3.75479,,-54749.6,2.07107
215.5,,1266.9,5.87869,,-9313.35,3.7548,,-54748.6,2.07114
216,,1269.84,5.87868,,-9311.48,3.75481,,-54747.6,2.0712
216.5,,1272.78,5.87868,,-9309.6,3.75482,,-54746.5,2.07126
217,,1275.72,5.87868,,-9307.72,3.75483,,-54745.5,2.07133
217.5,,1278.66,5.87868,,-9305.84,3.75484,,-54744.5,2.07139
218,,1281.6,5.87868,,-9303.97,3.75485,,-54743.4,2.07146
218.5,,1284.54,5.87868,,-9302.09,3.75486,,-54742.4,2.07152
219,,1287.48,5.87868,,-9300.21,3.75487,,-54741.4,2.07158
219.5,,1290.42,5.87867,,-9298.33,3.75488,,-54740.3,2.07165
220,,1293.36,5.87867,,-9296.46,3.75489,,-54739.3,2.07171
220.5,,1296.3,5.87867,,-9294.58,3.7549,,-54738.2,2.07177
221,,1299.23,5.87867,,-9292.7,3.75492,,-54737.2,2.07184
221.5,,1302.17,5.87867,,-9290.82,3.75493,,-54736.2,2.0719
222,,1305.11,5.87867,,-9288.95,3.75494,,-54735.1,2.07197
222.5,,1308.05,5.87866,,-9287.07,3.75495,,-54734.1,2.07203
223,,1310.99,5.87866,,-9285.19,3.75496,,-54733.1,2.07209
223.5,,1313.93,5.87866,,-9283.31,3.75497,,-54732,2.07216
224,,1316.87,5.87866,,-9281.44,3.75498,,-54731,2.07222
224.5,,1319.81,5.87866,,-9279.56,3.75499,,-54730,2.07228
225,,1322.75,5.87866,,-9277.68,3.755,,-54728.9,2.07235
225.5,,1325.69,5.87866,,-9275.8,3.75501,,-54727.9,2.07241
226,,1328.63,5.87865,,-9273.93,3.75502,,-54726.9,2.07247
226.5,,1331.57,5.87865,,-9272.05,3.75503,,-54725.8,2.07254
227,,1334.51,5.87865,,-9270.17,3.75505,,-54724.8,2.0726
227.5,,1337.45,5.87865,,-9268.29,3.75506,,-54723.7,2.07267
228,,1340.39,5.87865,,-9266.42,3.75507,,-54722.7,2.07273
228.5,,1343.32,5.87865,,-9264.54,3.75508,,-54721.7,2.07279
229,,1346.26,5.87864,,-9262.66,3.75509,,-54720.6,2.07286
229.5,,1349.2,5.87864,,-9260.78,3.7551,,-54719.6,2.07292
230,,1352.14,5.87864,,-9258.91,3.75511,,-54718.6,2.07298
230.5,,1355.08,5.87864,,-9257.03,3.75512,,-54717.5,2.07305
231,,1358.02,5.87864,,-9255.15,3.75513,,-54716.5,2.07311
231.5,,1360.96,5.87864,,-9253.27,3.75514,,-54715.5,2.07318
232,,1363.9,5.87864,,-9251.4,3.75515,,-54714.4,2.07324
232.5,,1366.84,5.87863,,-9249.52,3.75516,,-54713.4,2.0733
233,,1369.78,5.87863,,-9247.64,3.75517,,-54712.3,2.07337
233.5,,1372.72,5.87863,,-9245.76,3.75519,,-54711.3,2.07343
234,,1375.66,5.87863,,-9243.89,3.7552,,-54710.3,2.07349
234.5,,1378.6,5.87863,,-9242.01,3.75521,,-54709.2,2.07356
235,,1381.54,5.87863,,-9240.13,3.75522,,-54708.2,2.07362
235.5,,1384.48,5.87862,,-9238.25,3.75523,,-54707.2,2.07369
236,,1387.41,5.87862,,-9236.38,3.75524,,-54706.1,2.07375
236.5,,1390.35,5.87862,,-9234.5,3.75525,,-54705.1,2.07381
237,,1393.29,5.87862,,-9232.62,3.75526,,-54704,2.07388
237.5,,1396.23,5.87862,,-9230.74,3.75527,,-54703,2.07394
238,,1399.17,5.87862,,-9228.87,3.75528,,-54702,2.074
238.5,,1402.11,5.87861,,-9226.99,3.75529,,-54700.9,2.07407
239,,1405.05,5.87861,,-9225.11,3.7553,,-54699.9,2.07413
239.5,,1407.99,5.87861,,-9223.23,3.75531,,-54698.9,2.0742
240,,1410.93,5.87861,,-9221.35,3.75533,,-54697.8,2.07426
240.5,,1413.87,5.87861,,-9219.48,3.75534,,-54696.8,2.07432
241,,1416.81,5.87861,,-9217.6,3.75535,,-54695.7,2.07439
241.5,,1419.75,5.8786,,-9215.72,3.75536,,-54694.7,2.07445
242,,1422.69,5.8786,,-9213.84,3.75537,,-54693.7,2.07452
242.5,,1425.63,5.8786,,-9211.97,3.75538,,-54692.6,2.07458
243,,1428.56,5.8786,,-9210.09,3.75539,,-54691.6,2.07464
243.5,,1431.5,5.8786,,-9208.21,3.7554,,-54690.6,2.07471
244,,1434.44,5.8786,,-9206.33,3.75541,,-54689.5,2.07477
244.5,,1437.38,5.87859,,-9204.46,3.75542,,-54688.5,2.07483
245,,1440.32,5.87859,,-9202.58,3.75543,,-54687.5,2.0749
245.5,,1443.26,5.87859,,-9200.7,3.75544,,-54686.4,2.07496
246,,1446.2,5.87859,,-9198.82,3.75545,,-54685.4,2.07503
246.5,,1449.14,5.87859,,-9196.94,3.75547,,-54684.3,2.07509
247,,1452.08,5.87859,,-9195.07,3.75548,,-54683.3,2.07515
247.5,,1455.02,5.87858,,-9193.19,3.75549,,-54682.3,2.07522
248,,1457.96,5.87858,,-9191.31,3.7555,,-54681.2,2.07528
248.5,,1460.9,5.87858,,-9189.43,3.75551,,-54680.2,2.07535
249,,1463.84,5.87858,,-9187.56,3.75552,,-54679.2,2.07541
249.5,,1466.78,5.87858,,-9185.68,3.75553,,-54678.1,2.07547
250,,1469.71,5.87858,,-9183.8,3.75554,,-54677.1,2.07554
250.5,,1472.65,5.87857,,-9181.92,3.75555,,-54676,2.0756
251,,1475.59,5.87857,,-9180.04,3.75556,,-54675,2.07566
251.5,,1478.53,5.87857,,-9178.17,3.75557,,-54674,2.07573
252,,1481.47,5.87857,,-9176.29,3.75558,,-54672.9,2.07579
252.5,,1484.41,5.87857,,-9174.41,3.75559,,-54671.9,2.07586
253,,1487.35,5.87857,,-9172.53,3.7556,,-54670.8,2.07592
253.5,,1490.29,5.87856,,-9170.66,3.75562,,-54669.8,2.07598
254,,1493.23,5.87856,,-9168.78,3.75563,,-54668.8,2.07605
254.5,,1496.17,5.87856,,-9166.9,3.75564,,-54667.7,2.07611
255,,1499.11,5.87856,,-9165.02,3.75565,,-54666.7,2.07618
255.5,,1502.05,5.87856,,-9163.14,3.75566,,-54665.7,2.07624
256,,1504.99,5.87855,,-9161.27,3.75567,,-54664.6,2.0763
256.5,,1507.93,5.87855,,-9159.39,3.75568,,-54663.6,2.07637
257,,1510.86,5.87855,,-9157.51,3.75569,,-54662.5,2.07643
257.5,,1513.8,5.87855,,-9155.63,3.7557,,-54661.5,2.0765
258,,1516.74,5.87855,,-9153.76,3.75571,,-54660.5,2.07656
258.5,,1519.68,5.87855,,-9151.88,3.75572,,-54659.4,2.07662
259,,1522.62,5.87854,,-9150,3.75573,,-54658.4,2.07669
259.5,,1525.56,5.87854,,-9148.12,3.75574,,-54657.4,2.07675
260,,1528.5,5.87854,,-9146.24,3.75575,,-54656.3,2.07682
260.5,,1531.44,5.87854,,-9144.37,3.75577,,-54655.3,2.07688
261,,1534.38,5.87854,,-9142.49,3.75578,,-54654.2,2.07694
261.5,,1537.32,5.87854,,-9140.61,3.75579,,-54653.2,2.07701
262,,1540.26,5.87853,,-9138.73,3.7558,,-54652.2,2.07707
262.5,,1543.2,5.87853,,-9136.85,3.75581,,-54651.1,2.07713
263,,1546.14,5.87853,,-9134.98,3.75582,,-54650.1,2.0772
263.5,,1549.08,5.87853,,-9133.1,3.75583,,-54649,2.07726
264,,1552.01,5.87853,,-9131.22,3.75584,,-54648,2.07733
264.5,,1554.95,5.87852,,-9129.34,3.75585,,-54647,2.07739
265,,1557.89,5.87852,,-9127.46,3.75586,,-54645.9,2.07745
265.5,,1560.83,5.87852,,-9125.59,3.75587,,-54644.9,2.07752
266,,1563.77,5.87852,,-9123.71,3.75588,,-54643.8,2.07758
266.5,,1566.71,5.87852,,-9121.83,3.75589,,-54642.8,2.07765
267,,1569.65,5.87852,,-9119.95,3.7559,,-54641.8,2.07771
267.5,,1572.59,5.87851,,-9118.08,3.75591,,-54640.7,2.07777
268,,1575.53,5.87851,,-9116.2,3.75593,,-54639.7,2.07784
268.5,,1578.47,5.87851,,-9114.32,3.75594,,-54638.7,2.0779
269,,1581.41,5.87851,,-9112.44,3.75595,,-54637.6,2.07797
269.5,,1584.35,5.87851,,-9110.56,3.75596,,-54636.6,2.07803
270,,1587.29,5.8785,,-9108.69,3.75597,,-54635.5,2.07809
270.5,,1590.22,5.8785,,-9106.81,3.75598,,-54634.5,2.07816
271,,1593.16,5.8785,,-9104.93,3.75599,,-54633.5,2.07822
271.5,,1596.1,5.8785,,-9103.05,3.756,,-54632.4,2.07829
272,,1599.04,5.8785,,-9101.17,3.75601,,-54631.4,2.07835
272.5,,1601.98,5.87849,,-9099.3,3.75602,,-54630.3,2.07841
273,,1604.92,5.87849,,-9097.42,3.75603,,-54629.3,2.07848
273.5,,1607.86,5.87849,,-9095.54,3.75604,,-54628.3,2.07854
274,,1610.8,5.87849,,-9093.66,3.75605,,-54627.2,2.07861
274.5,,1613.74,5.87849,,-9091.78,3.75606,,-54626.2,2.07867
275,,1616.68,5.87849,,-9089.91,3.75607,,-54625.1,2.07873
275.5,,1619.62,5.87848,,-9088.03,3.75609,,-54624.1,2.0788
276,,1622.56,5.87848,,-9086.15,3.7561,,-54623.1,2.07886
276.5,,1625.5,5.87848,,-9084.27,3.75611,,-54622,2.07893
277,,1628.44,5.87848,,-9082.39,3.75612,,-54621,2.07899
277.5,,1631.37,5.87848,,-9080.51,3.75613,,-54619.9,2.07905
278,,1634.31,5.87847,,-9078.64,3.75614,,-54618.9,2.07912
278.5,,1637.25,5.87847,,-9076.76,3.75615,,-54617.9,2.07918
279,,1640.19,5.87847,,-9074.88,3.75616,,-54616.8,2.07925
279.5,,1643.13,5.87847,,-9073,3.75617,,-54615.8,2.07931
280,,1646.07,5.87847,,-9071.12,3.75618,,-54614.8,2.07937
280.5,,1649.01,5.87846,,-9069.25,3.75619,,-54613.7,2.07944
281,,1651.95,5.87846,,-9067.37,3.7562,,-54612.7,2.0795
281.5,,1654.89,5.87846,,-9065.49,3.75621,,-54611.6,2.07957
282,,1657.83,5.87846,,-9063.61,3.75622,,-54610.6,2.07963
282.5,,1660.77,5.87846,,-9061.73,3.75623,,-54609.6,2.0797
283,,1663.71,5.87845,,-9059.86,3.75625,,-54608.5,2.07976
283.5,,1666.65,5.87845,,-9057.98,3.75626,,-54607.5,2.07982
284,,1669.58,5.87845,,-9056.1,3.75627,,-54606.4,2.07989
284.5,,1672.52,5.87845,,-9054.22,3.75628,,-54605.4,2.07995
285,,1675.46,5.87845,,-9052.34,3.75629,,-54604.4,2.08002
285.5,,1678.4,5.87844,,-9050.47,3.7563,,-54603.3,2.08008
286,,1681.34,5.87844,,-9048.59,3.75631,,-54602.3,2.08014
286.5,,1684.28,5.87844,,-9046.71,3.75632,,-54601.2,2.08021
287,,1687.22,5.87844,,-9044.83,3.75633,,-54600.2,2.08027
287.5,,1690.16,5.87844,,-9042.95,3.75634,,-54599.2,2.08034
288,,1693.1,5.87843,,-9041.07,3.75635,,-54598.1,2.0804
288.5,,1696.04,5.87843,,-9039.2,3.75636,,-54597.1,2.08046
289,,1698.98,5.87843,,-9037.32,3.75637,,-54596,2.08053
289.5,,1701.92,5.87843,,-9035.44,3.75638,,-54595,2.08059
290,,1704.85,5.87843,,-9033.56,3.75639,,-54594,2.08066
290.5,,1707.79,5.87842,,-9031.68,3.7564,,-54592.9,2.08072
291,,1710.73,5.87842,,-9029.81,3.75641,,-54591.9,2.08079
291.5,,1713.67,5.87842,,-9027.93,3.75643,,-54590.8,2.08085
292,,1716.61,5.87842,,-9026.05,3.75644,,-54589.8,2.08091
292.5,,1719.55,5.87842,,-9024.17,3.75645,,-54588.7,2.08098
293,,1722.49,5.87841,,-9022.29,3.75646,,-54587.7,2.08104
293.5,,1725.43,5.87841,,-9020.41,3.75647,,-54586.7,2.08111
294,,1728.37,5.87841,,-9018.54,3.75648,,-54585.6,2.08117
294.5,,1731.31,5.87841,,-9016.66,3.75649,,-54584.6,2.08123
295,,1734.25,5.87841,,-9014.78,3.7565,,-54583.5,2.0813
295.5,,1737.19,5.8784,,-9012.9,3.75651,,-54582.5,2.08136
296,,1740.13,5.8784,,-9011.02,3.75652,,-54581.5,2.08143
296.5,,1743.06,5.8784,,-9009.14,3.75653,,-54580.4,2.08149
297,,1746,5.8784,,-9007.27,3.75654,,-54579.4,2.08155
297.5,,1748.94,5.8784,,-9005.39,3.75655,,-54578.3,2.08162
298,,1751.88,5.87839,,-9003.51,3.75656,,-54577.3,2.08168
298.5,,1754.82,5.87839,,-9001.63,3.75657,,-54576.3,2.08175
299,,1757.76,5.87839,,-8999.75,3.75658,,-54575.2,2.08181
299.5,,1760.7,5.87839,,-8997.87,3.7566,,-54574.2,2.08188
300,,1763.64,5.87839,,-8996,3.75661,,-54573.1,2.08194
300.5,,1766.58,5.87838,,-8994.12,3.75662,,-54572.1,2.082
301,,1769.52,5.87838,,-8992.24,3.75663,,-54571.1,2.08207
301.5,,1772.46,5.87838,,-8990.36,3.75664,,-54570,2.08213
302,,1775.4,5.87838,,-8988.48,3.75665,,-54569,2.0822
302.5,,1778.33,5.87838,,-8986.61,3.75666,,-54567.9,2.08226
303,,1781.27,5.87837,,-8984.73,3.75667,,-54566.9,2.08232
303.5,,1784.21,5.87837,,-8982.85,3.75668,,-54565.9,2.08239
304,,1787.15,5.87837,,-8980.97,3.75669,,-54564.8,2.08245
304.5,,1790.09,5.87837,,-8979.09,3.7567,,-54563.8,2.08252
305,,1793.03,5.87837,,-8977.21,3.75671,,-54562.7,2.08258
305.5,,1795.97,5.87836,,-8975.33,3.75672,,-54561.7,2.08265
306,,1798.91,5.87836,,-8973.46,3.75673,,-54560.6,2.08271
306.5,,1801.85,5.87836,,-8971.58,3.75674,,-54559.6,2.08277
307,,1804.79,5.87836,,-8969.7,3.75675,,-54558.6,2.08284
307.5,,1807.73,5.87835,,-8967.82,3.75676,,-54557.5,2.0829
308,,1810.67,5.87835,,-8965.94,3.75677,,-54556.5,2.08297
308.5,,1813.61,5.87835,,-8964.06,3.75679,,-54555.4,2.08303
309,,1816.54,5.87835,,-8962.19,3.7568,,-54554.4,2.0831
309.5,,1819.48,5.87835,,-8960.31,3.75681,,-54553.4,2.08316
310,,1822.42,5.87834,,-8958.43,3.75682,,-54552.3,2.08322
310.5,,1825.36,5.87834,,-8956.55,3.75683,,-54551.3,2.08329
311,,1828.3,5.87834,,-8954.67,3.75684,,-54550.2,2.08335
311.5,,1831.24,5.87834,,-8952.79,3.75685,,-54549.2,2.08342
312,,1834.18,5.87834,,-8950.92,3.75686,,-54548.1,2.08348
312.5,,1837.12,5.87833,,-8949.04,3.75687,,-54547.1,2.08355
313,,1840.06,5.87833,,-8947.16,3.75688,,-54546.1,2.08361
313.5,,1843,5.87833,,-8945.28,3.75689,,-54545,2.08367
314,,1845.94,5.87833,,-8943.4,3.7569,,-54544,2.08374
314.5,,1848.88,5.87832,,-8941.52,3.75691,,-54542.9,2.0838
315,,1851.81,5.87832,,-8939.65,3.75692,,-54541.9,2.08387
315.5,,1854.75,5.87832,,-8937.77,3.75693,,-54540.9,2.08393
316,,1857.69,5.87832,,-8935.89,3.75694,,-54539.8,2.084
316.5,,1860.63,5.87832,,-8934.01,3.75695,,-54538.8,2.08406
317,,1863.57,5.87831,,-8932.13,3.75696,,-54537.7,2.08412
317.5,,1866.51,5.87831,,-8930.25,3.75697,,-54536.7,2.08419
318,,1869.45,5.87831,,-8928.37,3.75699,,-54535.6,2.08425
318.5,,1872.39,5.87831,,-8926.5,3.757,,-54534.6,2.08432
319,,1875.33,5.8783,,-8924.62,3.75701,,-54533.6,2.08438
319.5,,1878.27,5.8783,,-8922.74,3.75702,,-54532.5,2.08445
320,,1881.21,5.8783,,-8920.86,3.75703,,-54531.5,2.08451
320.5,,1884.15,5.8783,,-8918.98,3.75704,,-54530.4,2.08457
321,,1887.08,5.8783,,-8917.1,3.75705,,-54529.4,2.08464
321.5,,1890.02,5.87829,,-8915.22,3.75706,,-54528.3,2.0847
322,,1892.96,5.87829,,-8913.35,3.75707,,-54527.3,2.08477
322.5,,1895.9,5.87829,,-8911.47,3.75708,,-54526.3,2.08483
323,,1898.84,5.87829,,-8909.59,3.75709,,-54525.2,2.0849
323.5,,1901.78,5.87828,,-8907.71,3.7571,,-54524.2,2.08496
324,,1904.72,5.87828,,-8905.83,3.75711,,-54523.1,2.08502
324.5,,1907.66,5.87828,,-8903.95,3.75712,,-54522.1,2.08509
325,,1910.6,5.87828,,-8902.07,3.75713,,-54521,2.08515
325.5,,1913.54,5.87828,,-8900.2,3.75714,,-54520,2.08522
326,,1916.48,5.87827,,-8898.32,3.75715,,-54519,2.08528
326.5,,1919.41,5.87827,,-8896.44,3.75716,,-54517.9,2.08535
327,,1922.35,5.87827,,-8894.56,3.75717,,-54516.9,2.08541
327.5,,1925.29,5.87827,,-8892.68,3.75719,,-54515.8,2.08547
328,,1928.23,5.87826,,-8890.8,3.7572,,-54514.8,2.08554
328.5,,1931.17,5.87826,,-8888.92,3.75721,,-54513.8,2.0856
329,,1934.11,5.87826,,-8887.05,3.75722,,-54512.7,2.08567
329.5,,1937.05,5.87826,,-8885.17,3.75723,,-54511.7,2.08573
330,,1939.99,5.87826,,-8883.29,3.75724,,-54510.6,2.0858
330.5,,1942.93,5.87825,,-8881.41,3.75725,,-54509.6,2.08586
331,,1945.87,5.87825,,-8879.53,3.75726,,-54508.5,2.08593
331.5,,1948.81,5.87825,,-8877.65,3.75727,,-54507.5,2.08599
332,,1951.75,5.87825,,-8875.77,3.75728,,-54506.5,2.08605
332.5,,1954.68,5.87824,,-8873.9,3.75729,,-54505.4,2.08612
333,,1957.62,5.87824,,-8872.02,3.7573,,-54504.4,2.08618
333.5,,1960.56,5.87824,,-8870.14,3.75731,,-54503.3,2.08625
334,,1963.5,5.87824,,-8868.26,3.75732,,-54502.3,2.08631
334.5,,1966.44,5.87823,,-8866.38,3.75733,,-54501.2,2.08638
335,,1969.38,5.87823,,-8864.5,3.75734,,-54500.2,2.08644
335.5,,1972.32,5.87823,,-8862.62,3.75735,,-54499.1,2.0865
336,,1975.26,5.87823,,-8860.75,3.75736,,-54498.1,2.08657
336.5,,1978.2,5.87823,,-8858.87,3.75737,,-54497.1,2.08663
337,,1981.14,5.87822,,-8856.99,3.75738,,-54496,2.0867
337.5,,1984.08,5.87822,,-8855.11,3.75739,,-54495,2.08676
338,,1987.01,5.87822,,-8853.23,3.75741,,-54493.9,2.08683
338.5,,1989.95,5.87822,,-8851.35,3.75742,,-54492.9,2.08689
339,,1992.89,5.87821,,-8849.47,3.75743,,-54491.8,2.08696
339.5,,1995.83,5.87821,,-8847.59,3.75744,,-54490.8,2.08702
340,,1998.77,5.87821,,-8845.72,3.75745,,-54489.8,2.08708
340.5,,2001.71,5.87821,,-8843.84,3.75746,,-54488.7,2.08715
341,,2004.65,5.8782,,-8841.96,3.75747,,-54487.7,2.08721
341.5,,2007.59,5.8782,,-8840.08,3.75748,,-54486.6,2.08728
342,,2010.53,5.8782,,-8838.2,3.75749,,-54485.6,2.08734
342.5,,2013.47,5.8782,,-8836.32,3.7575,,-54484.5,2.08741
343,,2016.41,5.87819,,-8834.44,3.75751,,-54483.5,2.08747
343.5,,2019.34,5.87819,,-8832.56,3.75752,,-54482.5,2.08754
344,,2022.28,5.87819,,-8830.69,3.75753,,-54481.4,2.0876
344.5,,2025.22,5.87819,,-8828.81,3.75754,,-54480.4,2.08766
345,,2028.16,5.87818,,-8826.93,3.75755,,-54479.3,2.08773
345.5,,2031.1,5.87818,,-8825.05,3.75756,,-54478.3,2.08779
346,,2034.04,5.87818,,-8823.17,3.75757,,-54477.2,2.08786
346.5,,2036.98,5.87818,,-8821.29,3.75758,,-54476.2,2.08792
347,,2039.92,5.87818,,-8819.41,3.75759,,-54475.1,2.08799
347.5,,2042.86,5.87817,,-8817.53,3.7576,,-54474.1,2.08805
348,,2045.8,5.87817,,-8815.66,3.75761,,-54473.1,2.08812
348.5,,2048.74,5.87817,,-8813.78,3.75762,,-54472,2.08818
349,,2051.67,5.87817,,-8811.9,3.75764,,-54471,2.08824
349.5,,2054.61,5.87816,,-8810.02,3.75765,,-54469.9,2.08831
350,,2057.55,5.87816,,-8808.14,3.75766,,-54468.9,2.08837
350.5,,2060.49,5.87816,,-8806.26,3.75767,,-54467.8,2.08844
351,,2063.43,5.87816,,-8804.38,3.75768,,-54466.8,2.0885
351.5,,2066.37,5.87815,,-8802.5,3.75769,,-54465.7,2.08857
352,,2069.31,5.87815,,-8800.62,3.7577,,-54464.7,2.08863
352.5,,2072.25,5.87815,,-8798.75,3.75771,,-54463.7,2.0887
353,,2075.19,5.87815,,-8796.87,3.75772,,-54462.6,2.08876
353.5,,2078.13,5.87814,,-8794.99,3.75773,,-54461.6,2.08883
354,,2081.07,5.87814,,-8793.11,3.75774,,-54460.5,2.08889
354.5,,2084,5.87814,,-8791.23,3.75775,,-54459.5,2.08895
355,,2086.94,5.87814,,-8789.35,3.75776,,-54458.4,2.08902
355.5,,2089.88,5.87813,,-8787.47,3.75777,,-54457.4,2.08908
356,,2092.82,5.87813,,-8785.59,3.75778,,-54456.3,2.08915
356.5,,2095.76,5.87813,,-8783.71,3.75779,,-54455.3,2.08921
357,,2098.7,5.87813,,-8781.84,3.7578,,-54454.3,2.08928
357.5,,2101.64,5.87812,,-8779.96,3.75781,,-54453.2,2.08934
358,,2104.58,5.87812,,-8778.08,3.75782,,-54452.2,2.08941
358.5,,2107.52,5.87812,,-8776.2,3.75783,,-54451.1,2.08947
359,,2110.46,5.87812,,-8774.32,3.75784,,-54450.1,2.08953
359.5,,2113.4,5.87811,,-8772.44,3.75785,,-54449,2.0896
360,,2116.33,5.87811,,-8770.56,3.75786,,-54448,2.08966
360.5,,2119.27,5.87811,,-8768.68,3.75787,,-54446.9,2.08973
361,,2122.21,5.87811,,-8766.8,3.75789,,-54445.9,2.08979
361.5,,2125.15,5.8781,,-8764.93,3.7579,,-54444.9,2.08986
362,,2128.09,5.8781,,-8763.05,3.75791,,-54443.8,2.08992
362.5,,2131.03,5.8781,,-8761.17,3.75792,,-54442.8,2.08999
363,,2133.97,5.8781,,-8759.29,3.75793,,-54441.7,2.09005
363.5,,2136.91,5.87809,,-8757.41,3.75794,,-54440.7,2.09012
364,,2139.85,5.87809,,-8755.53,3.75795,,-54439.6,2.09018
364.5,,2142.79,5.87809,,-8753.65,3.75796,,-54438.6,2.09024
365,,2145.72,5.87809,,-8751.77,3.75797,,-54437.5,2.09031
365.5,,2148.66,5.87808,,-8749.89,3.75798,,-54436.5,2.09037
366,,2151.6,5.87808,,-8748.01,3.75799,,-54435.4,2.09044
366.5,,2154.54,5.87808,,-8746.14,3.758,,-54434.4,2.0905
367,,2157.48,5.87808,,-8744.26,3.75801,,-54433.4,2.09057
367.5,,2160.42,5.87807,,-8742.38,3.75802,,-54432.3,2.09063
368,,2163.36,5.87807,,-8740.5,3.75803,,-54431.3,2.0907
368.5,,2166.3,5.87807,,-8738.62,3.75804,,-54430.2,2.09076
369,,2169.24,5.87807,,-8736.74,3.75805,,-54429.2,2.09083
369.5,,2172.18,5.87806,,-8734.86,3.75806,,-54428.1,2.09089
370,,2175.12,5.87806,,-8732.98,3.75807,,-54427.1,2.09096
370.5,,2178.05,5.87806,,-8731.1,3.75808,,-54426,2.09102
371,,2180.99,5.87806,,-8729.22,3.75809,,-54425,2.09108
371.5,,2183.93,5.87805,,-8727.35,3.7581,,-54424,2.09115
372,,2186.87,5.87805,,-8725.47,3.75811,,-54422.9,2.09121
372.5,,2189.81,5.87805,,-8723.59,3.75812,,-54421.9,2.09128
